time_ms,fuel_pressure_psi,chamber_pressure_psi,oxygen_pressure_psi,ducer4_psi,ducer5_psi,ducer6_psi,ducer7_psi,ducer8_psi,thermistor1_C,thermistor2_C,thermistor3_C,thermistor4_C,thermistor5_C,thermistor6_C,loadcell_lbs
408,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
409,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
410,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
417,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
418,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
419,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
420,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
421,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
422,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
423,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
424,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
425,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
426,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
429,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
430,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
432,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
433,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
434,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
435,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
436,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
437,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
438,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
439,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
440,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
441,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
442,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
443,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
451,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
452,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
453,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
454,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
455,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
457,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
459,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
462,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
463,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
464,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
466,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
467,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
469,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
470,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
471,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
472,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
473,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
474,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
475,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
476,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
477,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
478,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
479,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
480,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
488,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
489,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
490,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
493,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
494,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
495,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
497,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
499,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
500,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
501,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
503,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
505,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
506,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
507,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
509,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
511,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
512,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
514,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
515,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
516,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
517,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
518,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
519,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
534,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
536,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
537,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
538,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
539,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
541,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
543,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
545,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
547,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
548,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
549,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
550,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
551,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
553,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
554,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
555,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
556,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
557,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
558,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
559,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
560,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
561,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
562,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
563,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
570,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0
571,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
572,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
573,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
575,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
577,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
579,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
581,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
582,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
583,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
584,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
586,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
588,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
589,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
590,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
591,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
592,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
593,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
594,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
