time_ms,fuel_pressure_psi,chamber_pressure_psi,oxygen_pressure_psi,ducer4_psi,ducer5_psi,ducer6_psi,ducer7_psi,ducer8_psi,thermistor1_C,thermistor2_C,thermistor3_C,thermistor4_C,thermistor5_C,thermistor6_C,loadcell_lbs
298,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
300,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
301,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
302,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
304,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
305,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
306,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
308,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
309,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
310,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
311,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
312,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
313,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
320,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
321,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
322,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
323,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
324,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
326,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
328,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
329,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
331,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
332,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0
333,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0
334,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
336,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
337,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
338,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
339,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
340,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
341,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
342,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
343,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
344,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
345,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
346,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
347,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
354,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0
355,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0
356,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0
357,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
358,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
359,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
360,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
361,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
362,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
363,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
364,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
365,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
367,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
370,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
371,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
373,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
375,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
376,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
378,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
379,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
380,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
381,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
382,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
383,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
399,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
401,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
403,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
404,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0
406,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
407,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
408,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0
409,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
410,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
411,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
413,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
415,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
416,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
417,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
418,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
419,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
420,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
421,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
422,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
423,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
424,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
425,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
426,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
427,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
435,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
436,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
437,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
438,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
440,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
442,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
444,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
445,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
446,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
447,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
448,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
449,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
450,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
452,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
454,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
455,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
456,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
457,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
458,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
459,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
461,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
462,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
463,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
464,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
472,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
473,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
474,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0
475,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0
477,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
479,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
481,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
483,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
484,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0
485,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
487,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
489,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
490,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
492,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
493,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
494,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
495,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
496,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
497,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
498,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
499,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
500,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
501,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
502,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
503,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
