time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
17879983,85,0,0,0
18142143,95,0,0,0
19190736,95,0,0,0
18928619,85,0,0,0
19190785,85,0,0,0
18142210,87,0,0,0
17880083,85,0,0,0
17880099,91,0,0,0
18142260,103,0,0,0
18142277,81,0,0,0
18142293,95,0,0,0
19190888,99,0,0,0
19190911,93,0,0,0
18142343,83,0,0,0
19190936,93,0,0,0
17880233,105,0,0,0
19190969,99,0,0,0
18142410,91,0,0,0
19191007,93,0,0,0
17880303,83,0,0,0
18928892,93,0,0,0
19191053,91,0,0,0
18928925,105,0,0,0
19191086,95,0,0,0
18142527,89,0,0,0
19191119,99,0,0,0
19191136,95,0,0,0
19191161,83,0,0,0
19191181,79,0,0,0
19191194,93,0,0,0
19191211,85,0,0,0
19191223,93,0,0,0
19191236,93,0,0,0
19191261,85,0,0,0
17880559,97,0,0,0
18929144,79,0,0,0
18929159,97,0,0,0
19191319,95,0,0,0
19191344,81,0,0,0
18142779,97,0,0,0
18929225,99,0,0,0
19191386,89,0,0,0
18929259,73,0,0,0
18142843,89,0,0,0
18929292,95,0,0,0
18142879,93,0,0,0
18142895,95,0,0,0
19191488,95,0,0,0
18142927,97,0,0,0
19191519,87,0,0,0
18929392,97,0,0,0
18929421,81,0,0,0
18929439,87,0,0,0
19191586,95,0,0,0
17880883,105,0,0,0
19191619,91,0,0,0
18929492,85,0,0,0
17880943,93,0,0,0
19191685,89,0,0,0
18929550,87,0,0,0
18143127,97,0,0,0
19191719,91,0,0,0
18929592,97,0,0,0
19191757,83,0,0,0
18929627,95,0,0,0
18929646,89,0,0,0
18143231,97,0,0,0
19191823,85,0,0,0
19191836,85,0,0,0
18929709,97,0,0,0
18929743,89,0,0,0
17881166,95,0,0,0
19191903,101,0,0,0
17881199,93,0,0,0
18929792,77,0,0,0
18929809,95,0,0,0
18929827,95,0,0,0
18143420,79,0,0,0
19192003,91,0,0,0
19192031,95,0,0,0
18143460,95,0,0,0
19192055,75,0,0,0
19192069,79,0,0,0
18143510,95,0,0,0
18929959,101,0,0,0
17881407,97,0,0,0
18143560,103,0,0,0
17881435,97,0,0,0
18143599,87,0,0,0
18143610,95,0,0,0
17881483,97,0,0,0
17881519,85,0,0,0
17881520,93,0,0,0
18930109,107,0,0,0
18930125,95,0,0,0
18143712,85,0,0,0
18143727,95,0,0,0
18143743,105,0,0,0
18930192,81,0,0,0
19192355,83,0,0,0
19192369,101,0,0,0
18930244,83,0,0,0
17881683,97,0,0,0
17881703,95,0,0,0
17881716,101,0,0,0
17881743,87,0,0,0
18143903,87,0,0,0
18143918,93,0,0,0
17881791,87,0,0,0
18143951,83,0,0,0
17881816,95,0,0,0
18143979,99,0,0,0
18930425,87,0,0,0
18144010,93,0,0,0
18144027,83,0,0,0
18144043,93,0,0,0
17881916,79,0,0,0
18144077,99,0,0,0
19192669,103,0,0,0
17881966,95,0,0,0
17881983,91,0,0,0
17881999,77,0,0,0
18144160,85,0,0,0
18930609,85,0,0,0
17882057,83,0,0,0
17882078,91,0,0,0
18144231,95,0,0,0
18144251,87,0,0,0
18144260,95,0,0,0
18144285,95,0,0,0
18144301,89,0,0,0
18930752,79,0,0,0
18930767,87,0,0,0
18930775,85,0,0,0
18930792,93,0,0,0
18930809,89,0,0,0
19192969,91,0,0,0
18144410,95,0,0,0
18144431,99,0,0,0
18144443,105,0,0,0
18930892,81,0,0,0
19193053,87,0,0,0
18144493,95,0,0,0
17882366,85,0,0,0
17882383,91,0,0,0
18930975,89,0,0,0
17882416,87,0,0,0
17882445,91,0,0,0
19193169,93,0,0,0
17882466,97,0,0,0
17882483,91,0,0,0
18931075,95,0,0,0
18144668,81,0,0,0
17882543,93,0,0,0
18144693,97,0,0,0
18931142,81,0,0,0
18931159,95,0,0,0
17882599,101,0,0,0
18931192,83,0,0,0
18144779,77,0,0,0
18144799,97,0,0,0
18144814,99,0,0,0
18144827,87,0,0,0
18144843,95,0,0,0
17882716,101,0,0,0
17882735,97,0,0,0
18144893,97,0,0,0
17882766,91,0,0,0
18144927,101,0,0,0
18144943,89,0,0,0
18931392,85,0,0,0
18144991,91,0,0,0
17882855,93,0,0,0
18931452,83,0,0,0
18145031,85,0,0,0
17882903,93,0,0,0
17882924,85,0,0,0
18145087,81,0,0,0
18931525,101,0,0,0
17882968,89,0,0,0
18145127,87,0,0,0
17883007,81,0,0,0
17883016,93,0,0,0
18145183,85,0,0,0
18931625,85,0,0,0
18145210,103,0,0,0
17883087,79,0,0,0
17883099,81,0,0,0
17883116,91,0,0,0
17883135,99,0,0,0
17883151,89,0,0,0
18145310,81,0,0,0
17883183,93,0,0,0
19193919,91,0,0,0
18145360,85,0,0,0
18145381,95,0,0,0
18145393,95,0,0,0
17883274,83,0,0,0
17883291,99,0,0,0
18931883,83,0,0,0
17883316,95,0,0,0
18931911,77,0,0,0
18931925,91,0,0,0
17883374,93,0,0,0
18145535,87,0,0,0
17883399,91,0,0,0
14999832,93,0,0,0
17883433,87,0,0,0
18932025,81,0,0,0
18145610,87,0,0,0
18932063,101,0,0,0
18145647,97,0,0,0
18145660,89,0,0,0
17883535,83,0,0,0
18932125,89,0,0,0
18145710,81,0,0,0
18932159,91,0,0,0
19194319,93,0,0,0
17883616,91,0,0,0
18145791,89,0,0,0
18145793,87,0,0,0
17883666,93,0,0,0
18145827,93,0,0,0
18932275,91,0,0,0
17883728,87,0,0,0
18145879,97,0,0,0
18145893,79,0,0,0
18145912,79,0,0,0
17883791,87,0,0,0
17883799,85,0,0,0
18145960,91,0,0,0
17883835,101,0,0,0
18145993,99,0,0,0
18146010,89,0,0,0
15000303,93,0,0,0
18146043,101,0,0,0
17883920,91,0,0,0
18146079,99,0,0,0
17883951,81,0,0,0
17883968,93,0,0,0
18146127,95,0,0,0
18932575,91,0,0,0
17884016,95,0,0,0
18146185,79,0,0,0
17884051,93,0,0,0
18146210,81,0,0,0
18146239,83,0,0,0
15000523,93,0,0,0
18146268,81,0,0,0
18146277,107,0,0,0
18146303,81,0,0,0
18146310,95,0,0,0
19194903,89,0,0,0
18146343,97,0,0,0
17884224,93,0,0,0
17884237,89,0,0,0
18146393,105,0,0,0
17884266,95,0,0,0
17884283,99,0,0,0
15000719,97,0,0,0
18146460,95,0,0,0
18146477,99,0,0,0
18146493,91,0,0,0
18932942,97,0,0,0
18932959,87,0,0,0
15000815,83,0,0,0
18146560,81,0,0,0
18146577,97,0,0,0
17884455,91,0,0,0
18933042,89,0,0,0
17884491,79,0,0,0
18146643,97,0,0,0
18146672,79,0,0,0
17884533,83,0,0,0
18146693,103,0,0,0
17884576,95,0,0,0
17884591,87,0,0,0
18933175,83,0,0,0
18146760,95,0,0,0
18146779,75,0,0,0
18933225,87,0,0,0
17884668,91,0,0,0
15001099,93,0,0,0
18146843,81,0,0,0
18146864,79,0,0,0
18146879,81,0,0,0
17884749,93,0,0,0
17884768,95,0,0,0
15001199,103,0,0,0
18146943,85,0,0,0
17884816,91,0,0,0
18146979,79,0,0,0
18933425,91,0,0,0
17884880,85,0,0,0
17884883,91,0,0,0
18933475,97,0,0,0
18147064,91,0,0,0
17884933,93,0,0,0
18933525,81,0,0,0
18147120,87,0,0,0
18147127,95,0,0,0
17885007,89,0,0,0
18147160,99,0,0,0
18147177,83,0,0,0
17885049,93,0,0,0
19195792,87,0,0,0
15001503,101,0,0,0
17885103,83,0,0,0
18933692,87,0,0,0
18147279,97,0,0,0
17885149,95,0,0,0
17885168,91,0,0,0
19195903,87,0,0,0
18147343,107,0,0,0
18147376,89,0,0,0
17885233,89,0,0,0
18933825,97,0,0,0
18147422,95,0,0,0
17885283,97,0,0,0
18147443,95,0,0,0
15001740,103,0,0,0
18933909,87,0,0,0
17885349,95,0,0,0
15001790,89,0,0,0
17885383,95,0,0,0
18933975,85,0,0,0
18147560,85,0,0,0
18147577,89,0,0,0
18147593,91,0,0,0
17885470,93,0,0,0
18934059,89,0,0,0
18934075,95,0,0,0
17885516,95,0,0,0
18147677,81,0,0,0
18147693,97,0,0,0
18147712,85,0,0,0
17885583,79,0,0,0
18147743,79,0,0,0
18934192,95,0,0,0
18934209,89,0,0,0
18147803,79,0,0,0
17885672,89,0,0,0
18934259,85,0,0,0
17885703,83,0,0,0
18147864,97,0,0,0
18147879,83,0,0,0
18147903,79,0,0,0
17885768,97,0,0,0
17885783,103,0,0,0
15002223,85,0,0,0
17885832,77,0,0,0
17885833,87,0,0,0
18147997,89,0,0,0
18148016,97,0,0,0
18148027,79,0,0,0
17885899,83,0,0,0
17885920,87,0,0,0
18148077,91,0,0,0
17885949,79,0,0,0
18148112,99,0,0,0
18148127,91,0,0,0
17885999,97,0,0,0
17886016,79,0,0,0
18148187,79,0,0,0
18148199,81,0,0,0
18148222,89,0,0,0
17886083,103,0,0,0
17886099,87,0,0,0
18148264,81,0,0,0
17886135,95,0,0,0
18934725,89,0,0,0
17886168,85,0,0,0
17886191,91,0,0,0
18148343,111,0,0,0
18934792,93,0,0,0
18148381,83,0,0,0
18148399,81,0,0,0
18148414,103,0,0,0
19197003,87,0,0,0
18148447,95,0,0,0
18148460,95,0,0,0
18148479,83,0,0,0
18148495,85,0,0,0
18148510,79,0,0,0
18934959,91,0,0,0
18148543,95,0,0,0
17886416,79,0,0,0
18148587,95,0,0,0
18935025,93,0,0,0
18148610,95,0,0,0
15002899,93,0,0,0
17886511,87,0,0,0
17886524,81,0,0,0
15002959,93,0,0,0
18148709,87,0,0,0
18148710,95,0,0,0
18148727,85,0,0,0
18148743,95,0,0,0
18148768,93,0,0,0
18148777,83,0,0,0
18148795,79,0,0,0
18148810,79,0,0,0
18148827,95,0,0,0
17886699,81,0,0,0
18148864,83,0,0,0
17886733,103,0,0,0
17886751,91,0,0,0
18935342,87,0,0,0
18935359,91,0,0,0
17886799,85,0,0,0
17886816,85,0,0,0
17886845,79,0,0,0
18935429,91,0,0,0
18935442,89,0,0,0
18149027,95,0,0,0
18149047,93,0,0,0
17886916,101,0,0,0
18149077,97,0,0,0
17886949,95,0,0,0
17886966,99,0,0,0
17886991,83,0,0,0
18149151,83,0,0,0
15003432,95,0,0,0
17887035,99,0,0,0
18149193,85,0,0,0
17887066,83,0,0,0
17887087,93,0,0,0
18149243,97,0,0,0
18149260,95,0,0,0
18149277,97,0,0,0
17887151,103,0,0,0
18149310,91,0,0,0
17887183,85,0,0,0
17887215,91,0,0,0
18149360,83,0,0,0
15003653,93,0,0,0
