time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
11580,0,0,0,0
11610,0,0,0,0
11640,0,0,0,0
11670,0,0,2,0
11700,0,0,2,0
11730,0,0,0,0
11760,0,0,0,0
11790,0,0,0,0
11820,0,2,0,0
11850,0,0,0,0
11880,0,0,0,0
11910,0,0,0,0
11940,2,0,0,0
11970,0,0,0,0
12000,0,0,0,0
12030,0,0,0,0
12060,0,0,0,0
12090,0,0,0,0
12120,0,0,0,0
12150,0,0,0,0
12180,0,0,0,0
12210,0,0,0,0
12240,0,6,0,0
12270,2,0,0,0
